num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
47, 16/08/04,.,.,.,.,.,.,7,.,9,.,.,12,.,14,.,16,17,.,19,.,21,.,23,24,.,10,162, 16.20
48, 23/08/04,1,.,3,4,.,.,.,8,9,10,.,12,.,14,.,.,.,.,.,.,.,.,.,24,25,10,110, 11.00
49, 30/08/04,1,.,3,.,.,.,7,.,9,10,.,12,.,14,.,.,17,18,.,.,.,.,.,.,25,10,116, 11.60
50, 06/09/04,.,.,.,4,5,.,.,8,.,.,.,.,.,14,15,16,17,18,.,.,.,22,.,24,.,10,143, 14.30
51, 13/09/04,.,2,.,4,.,.,.,.,9,10,.,12,.,.,15,.,.,18,19,.,.,.,.,24,25,10,138, 13.80
52, 20/09/04,.,.,3,.,5,6,7,.,.,10,.,.,.,14,.,.,17,18,19,20,.,.,.,.,.,10,119, 11.90
53, 27/09/04,.,.,.,4,5,.,.,8,.,10,.,.,13,.,15,16,.,.,.,.,21,22,.,.,25,10,139, 13.90
54, 04/10/04,1,.,3,.,.,.,.,.,.,10,11,.,13,.,15,.,17,.,19,.,.,.,23,.,25,10,137, 13.70
55, 11/10/04,1,.,.,.,.,.,.,.,.,10,11,.,.,14,.,.,17,.,.,20,21,22,23,24,.,10,163, 16.30
56, 18/10/04,.,.,3,4,.,6,7,8,.,10,11,.,.,.,.,.,.,18,.,.,21,.,.,.,25,10,113, 11.30
57, 25/10/04,.,.,.,.,5,.,.,.,9,10,.,.,13,14,15,16,.,18,.,.,.,.,23,24,.,10,147, 14.70
58, 01/11/04,1,2,.,.,.,.,7,8,9,10,.,.,.,.,.,.,.,.,.,.,21,.,23,24,25,10,130, 13.00
59, 08/11/04,.,2,.,4,.,.,.,.,9,.,.,12,.,.,.,16,17,18,.,.,21,22,.,24,.,10,145, 14.50
60, 16/11/04,.,.,.,.,.,6,7,.,9,10,.,12,13,14,15,.,.,.,.,20,21,.,.,.,.,10,127, 12.70
61, 22/11/04,.,2,3,.,.,6,7,8,.,10,.,.,.,.,.,.,17,18,.,.,21,.,.,24,.,10,116, 11.60
62, 29/11/04,.,2,.,4,5,6,.,.,.,10,.,12,.,.,.,.,.,.,19,.,21,22,23,.,.,10,124, 12.40
63, 06/12/04,1,2,3,.,5,6,7,.,.,.,.,.,.,14,15,.,.,18,.,.,.,.,23,.,.,10,94, 9.40
64, 13/12/04,.,.,.,4,5,.,.,.,.,.,11,12,.,.,15,16,.,.,19,.,21,22,.,24,.,10,149, 14.90
65, 20/12/04,.,.,3,.,5,6,.,8,9,.,11,12,13,14,.,.,.,.,.,.,.,.,.,24,.,10,105, 10.50
66, 27/12/04,.,.,3,.,5,6,7,.,9,.,.,12,13,.,.,.,.,18,19,.,.,.,.,.,25,10,117, 11.70
67, 03/01/05,1,2,3,4,.,6,.,.,.,.,.,.,.,14,.,.,17,18,19,.,.,.,.,.,25,10,109, 10.90
68, 10/01/05,.,.,.,4,.,.,.,.,.,.,11,.,13,14,15,.,.,18,19,20,21,.,.,24,.,10,159, 15.90
69, 17/01/05,.,2,3,.,5,6,.,.,.,.,.,12,13,14,.,16,.,.,.,.,.,22,.,.,25,10,118, 11.80
70, 24/01/05,.,.,.,4,.,.,7,8,.,.,11,.,13,.,.,.,17,18,.,.,21,22,23,.,.,10,144, 14.40
71, 31/01/05,.,2,.,4,.,.,7,.,.,10,.,12,.,.,.,.,17,.,19,20,.,.,.,24,25,10,140, 14.00
72, 09/02/05,.,.,3,4,.,6,.,.,9,10,.,.,.,14,.,.,.,.,19,20,21,22,.,.,.,10,128, 12.80
73, 14/02/05,.,.,3,4,.,6,.,8,9,.,.,12,.,.,.,.,.,.,.,20,.,22,23,24,.,10,131, 13.10
74, 21/02/05,.,.,.,.,.,.,7,.,9,10,.,12,.,14,.,.,17,.,19,20,21,.,.,24,.,10,153, 15.30
75, 28/02/05,.,2,.,.,.,.,.,.,9,.,.,12,.,14,.,.,.,18,19,.,21,22,23,24,.,10,164, 16.40
76, 07/03/05,.,2,.,4,.,6,7,.,.,.,11,.,.,14,.,.,.,18,.,20,.,22,.,24,.,10,128, 12.80
77, 14/03/05,1,.,.,.,5,.,7,.,.,10,.,12,13,.,15,16,.,.,19,.,.,.,23,.,.,10,121, 12.10
78, 21/03/05,.,.,.,4,.,.,.,.,9,10,11,.,.,14,.,.,.,.,19,.,21,22,.,24,25,10,159, 15.90
79, 28/03/05,.,.,.,4,.,6,7,8,.,10,11,.,13,.,.,16,.,.,19,.,21,.,.,.,.,10,115, 11.50
80, 04/04/05,.,.,.,.,.,6,.,8,.,.,11,12,13,.,.,16,.,.,19,.,21,.,23,24,.,10,153, 15.30
81, 11/04/05,.,.,.,.,.,.,.,8,9,.,.,12,.,14,.,.,.,18,.,20,.,22,23,24,25,10,175, 17.50
82, 18/04/05,.,2,3,.,.,.,7,.,.,10,11,.,.,14,.,16,.,.,.,.,21,.,.,24,25,10,133, 13.30
83, 25/04/05,.,.,.,4,.,.,7,.,9,.,.,.,.,.,15,16,17,18,19,.,21,22,.,.,.,10,148, 14.80
84, 02/05/05,.,.,3,.,5,.,7,.,9,10,11,.,13,14,.,.,.,18,.,.,21,.,.,.,.,10,111, 11.10
85, 09/05/05,.,.,3,4,.,6,.,.,.,10,.,12,.,.,.,.,17,.,19,20,.,.,.,24,25,10,140, 14.00
86, 16/05/05,1,.,3,.,.,.,7,.,.,10,11,.,.,.,15,16,.,.,.,20,21,22,.,.,.,10,126, 12.60
87, 23/05/05,.,.,.,4,.,6,7,.,.,.,.,12,.,14,.,16,17,.,19,.,21,.,23,.,.,10,139, 13.90
88, 30/05/05,.,.,3,.,.,6,7,.,.,.,.,.,13,.,15,16,.,.,.,20,21,22,23,.,.,10,146, 14.60
89, 06/06/05,.,2,3,4,5,.,7,8,9,10,.,.,.,14,.,.,.,18,.,.,.,.,.,.,.,10,80, 8.00
90, 13/06/05,.,.,.,4,5,6,7,.,9,.,.,.,13,14,.,16,.,18,19,.,.,.,.,.,.,10,111, 11.10
91, 20/06/05,.,2,3,.,5,6,7,8,.,.,.,.,.,.,.,.,.,18,19,.,21,.,.,24,.,10,113, 11.30
92, 27/06/05,.,.,3,.,5,.,7,.,9,10,11,.,.,.,.,16,.,.,.,20,.,.,23,.,25,10,129, 12.90
