num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
72, 09/02/05,.,3,.,.,9,.,.,.,.,19,21,.,.,4,52, 13.00
73, 14/02/05,.,3,.,.,9,.,.,.,.,.,.,23,.,3,35, 11.67
74, 21/02/05,.,.,.,7,9,.,.,.,17,19,21,.,.,5,73, 14.60
75, 28/02/05,.,.,.,.,9,.,.,.,.,19,21,23,.,4,72, 18.00
76, 07/03/05,.,.,.,7,.,11,.,.,.,.,.,.,.,2,18, 9.00
77, 14/03/05,1,.,5,7,.,.,13,15,.,19,.,23,.,7,83, 11.86
78, 21/03/05,.,.,.,.,9,11,.,.,.,19,21,.,25,5,85, 17.00
79, 28/03/05,.,.,.,7,.,11,13,.,.,19,21,.,.,5,71, 14.20
80, 04/04/05,.,.,.,.,.,11,13,.,.,19,21,23,.,5,87, 17.40
81, 11/04/05,.,.,.,.,9,.,.,.,.,.,.,23,25,3,57, 19.00
82, 18/04/05,.,3,.,7,.,11,.,.,.,.,21,.,25,5,67, 13.40
83, 25/04/05,.,.,.,7,9,.,.,15,17,19,21,.,.,6,88, 14.67
84, 02/05/05,.,3,5,7,9,11,13,.,.,.,21,.,.,7,69, 9.86
85, 09/05/05,.,3,.,.,.,.,.,.,17,19,.,.,25,4,64, 16.00
86, 16/05/05,1,3,.,7,.,11,.,15,.,.,21,.,.,6,58, 9.67
87, 23/05/05,.,.,.,7,.,.,.,.,17,19,21,23,.,5,87, 17.40
88, 30/05/05,.,3,.,7,.,.,13,15,.,.,21,23,.,6,82, 13.67
89, 06/06/05,.,3,5,7,9,.,.,.,.,.,.,.,.,4,24, 6.00
90, 13/06/05,.,.,5,7,9,.,13,.,.,19,.,.,.,5,53, 10.60
91, 20/06/05,.,3,5,7,.,.,.,.,.,19,21,.,.,5,55, 11.00
92, 27/06/05,.,3,5,7,9,11,.,.,.,.,.,23,25,7,83, 11.86
93, 04/07/05,1,3,.,.,.,11,.,15,.,.,.,.,25,5,55, 11.00
94, 11/07/05,1,3,5,7,.,.,.,.,.,19,.,.,25,6,60, 10.00
95, 18/07/05,.,.,.,7,9,.,13,.,.,.,21,23,25,6,98, 16.33
96, 25/07/05,1,.,5,7,.,11,13,15,.,.,.,.,25,7,77, 11.00
97, 02/08/05,1,.,5,7,9,11,.,.,.,.,21,.,.,6,54, 9.00
98, 08/08/05,.,3,.,7,9,.,13,.,.,19,21,.,.,6,72, 12.00
99, 15/08/05,.,.,5,.,9,.,.,15,.,19,.,23,.,5,71, 14.20
100, 22/08/05,.,.,5,7,.,.,.,15,.,19,21,.,.,5,67, 13.40
101, 29/08/05,.,.,5,.,.,11,.,15,.,.,.,.,25,4,56, 14.00
102, 05/09/05,.,.,5,.,.,.,13,15,17,.,.,.,.,4,50, 12.50
103, 12/09/05,.,.,.,.,9,.,13,15,.,19,21,.,.,5,77, 15.40
104, 19/09/05,1,3,.,.,9,.,.,.,17,.,.,23,.,5,53, 10.60
105, 26/09/05,1,3,5,.,.,.,.,.,.,.,.,23,.,4,32, 8.00
106, 03/10/05,.,.,.,7,9,11,.,.,.,19,21,.,.,5,67, 13.40
107, 10/10/05,.,.,5,.,.,.,13,.,.,19,.,23,.,4,60, 15.00
108, 17/10/05,.,3,5,.,.,.,13,.,17,19,21,.,.,6,78, 13.00
109, 24/10/05,.,.,.,.,.,.,.,15,17,19,.,.,.,3,51, 17.00
110, 31/10/05,.,.,.,7,9,11,.,15,.,.,.,.,.,4,42, 10.50
111, 07/11/05,.,3,.,7,9,.,.,.,.,.,.,23,.,4,42, 10.50
112, 14/11/05,.,.,5,7,9,.,13,.,.,.,.,.,25,5,59, 11.80
113, 21/11/05,.,3,.,7,9,.,.,15,17,.,.,23,.,6,74, 12.33
114, 28/11/05,.,.,5,.,.,.,13,15,17,19,.,23,.,6,92, 15.33
115, 05/12/05,.,3,.,.,.,.,.,15,.,19,.,23,.,4,60, 15.00
116, 12/12/05,.,3,5,7,.,.,.,15,17,.,.,.,.,5,47, 9.40
117, 19/12/05,1,3,.,.,.,.,.,.,.,19,21,.,.,4,44, 11.00
118, 27/12/05,1,3,.,7,9,11,.,.,17,.,.,.,25,7,73, 10.43
119, 02/01/06,.,3,5,7,.,.,13,.,.,19,.,.,25,6,72, 12.00
120, 09/01/06,.,.,.,.,9,.,.,.,17,.,.,23,25,4,74, 18.50
121, 16/01/06,.,3,.,.,.,.,13,15,.,19,21,.,.,5,71, 14.20
122, 23/01/06,.,3,.,7,.,11,.,.,.,19,21,.,.,5,61, 12.20
123, 30/01/06,1,3,.,.,9,.,.,15,.,.,.,.,25,5,53, 10.60
124, 06/02/06,1,.,5,.,.,11,13,.,17,.,.,23,.,6,70, 11.67
125, 13/02/06,1,.,5,.,.,.,13,.,17,19,.,23,.,6,78, 13.00
126, 20/02/06,.,.,5,.,9,11,.,15,17,19,.,23,.,7,99, 14.14
127, 01/03/06,.,.,.,.,9,.,.,15,17,.,21,.,.,4,62, 15.50
128, 06/03/06,1,.,5,7,9,.,.,.,.,.,.,.,.,4,22, 5.50
129, 13/03/06,1,3,.,.,.,.,.,.,17,.,.,.,.,3,21, 7.00
130, 20/03/06,1,.,.,7,.,11,.,.,.,.,21,.,.,4,40, 10.00
131, 27/03/06,1,3,.,.,9,.,.,.,17,.,21,.,.,5,51, 10.20
132, 03/04/06,.,.,.,.,.,.,13,.,.,19,21,.,.,3,53, 17.67
133, 10/04/06,.,.,.,7,.,.,.,.,17,.,.,.,25,3,49, 16.33
134, 17/04/06,.,.,.,.,9,.,.,15,.,.,21,23,.,4,68, 17.00
135, 24/04/06,.,3,.,.,9,11,.,.,17,.,.,23,.,5,63, 12.60
136, 02/05/06,.,.,.,7,.,11,.,.,.,19,.,.,25,4,62, 15.50
137, 08/05/06,1,3,5,7,.,.,.,15,.,.,.,23,.,6,54, 9.00
138, 15/05/06,1,.,.,.,9,.,.,.,.,19,.,23,.,4,52, 13.00
139, 22/05/06,.,3,5,.,.,11,13,.,.,.,.,.,25,5,57, 11.40
